"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1144","ANA201606280",20160628,"HOU",7,36,12,3,1,1,7,1,1,0,5,0,12,2,0,0,0,9,4,0,0,0,0,27,8,1,0,1,0
"1159","ANA201606290",20160629,"HOU",10,39,12,2,1,2,9,0,1,0,6,1,5,1,0,0,0,9,4,3,3,0,0,27,10,1,0,1,0
"1331","ANA201607150",20160715,"CHA",0,31,5,1,0,0,0,0,0,0,2,0,7,0,0,1,0,6,5,5,4,0,0,24,9,2,0,2,0
"1346","ANA201607160",20160716,"CHA",0,33,6,3,0,0,0,0,0,0,0,0,13,1,0,0,0,6,1,1,1,0,0,24,11,1,0,1,0
"1361","ANA201607170",20160717,"CHA",1,32,7,2,0,0,1,0,0,0,1,0,4,0,0,1,0,5,4,8,8,0,0,24,11,0,0,2,0
"1376","ANA201607180",20160718,"TEX",5,34,8,2,0,3,5,0,0,2,2,0,7,0,2,0,0,6,4,9,9,1,0,24,12,1,0,3,0
"1387","ANA201607190",20160719,"TEX",6,40,13,1,0,3,6,0,0,0,2,0,9,2,0,0,0,9,4,8,8,0,0,24,12,0,0,2,0
"1401","ANA201607200",20160720,"TEX",4,36,10,2,1,2,4,0,1,1,3,0,3,0,0,0,0,10,3,7,7,1,1,24,11,1,0,1,0
"1512","ANA201607280",20160728,"BOS",1,30,8,0,0,0,1,0,1,0,2,1,4,1,2,1,0,5,2,0,0,0,0,25,14,1,0,2,0
"1521","ANA201607290",20160729,"BOS",6,31,7,1,0,2,6,0,1,0,7,0,8,1,1,1,0,6,1,2,2,0,0,27,13,0,0,1,0
"1536","ANA201607300",20160730,"BOS",2,33,6,0,0,1,2,0,0,0,7,0,12,0,0,0,0,11,3,5,5,1,0,24,10,0,0,2,0
"1551","ANA201607310",20160731,"BOS",5,37,9,1,0,2,5,0,0,0,3,0,13,0,0,0,0,8,3,3,3,0,0,27,8,1,0,1,0
"1574","ANA201608020",20160802,"OAK",4,34,9,1,0,3,4,0,0,1,3,0,8,0,0,2,0,7,4,4,4,0,0,24,7,2,0,1,0
"1589","ANA201608030",20160803,"OAK",6,36,13,2,0,0,4,0,0,0,6,0,4,1,0,4,0,9,4,7,7,0,0,24,11,2,1,0,0
"1604","ANA201608040",20160804,"OAK",8,41,11,3,0,3,7,0,0,0,2,0,10,0,0,0,0,5,6,5,5,1,0,30,8,1,0,2,0
"1755","ANA201608150",20160815,"SEA",3,35,9,0,0,1,3,0,0,0,3,0,4,0,0,1,0,8,3,2,2,1,0,27,12,0,1,0,0
"1765","ANA201608160",20160816,"SEA",6,35,10,2,0,0,5,0,1,1,4,0,4,0,1,2,0,8,4,7,7,0,0,24,7,0,0,1,0
"1781","ANA201608170",20160817,"SEA",4,35,10,2,0,0,3,0,2,2,2,0,13,1,0,0,0,10,6,3,3,1,0,27,14,0,0,1,0
"1796","ANA201608180",20160818,"SEA",4,34,8,2,0,3,4,0,0,0,2,0,6,0,0,1,0,5,3,5,5,0,0,24,14,1,0,1,0
