"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1170","ANA201007010",20100701,"TEX",1,32,4,1,0,0,1,0,0,1,3,1,7,0,0,0,0,8,4,2,2,0,0,24,9,1,0,0,0
"1181","ANA201007020",20100702,"KCA",2,37,9,2,0,0,2,1,0,0,3,1,5,1,0,0,0,9,4,1,1,0,0,30,17,1,0,1,0
"1196","ANA201007030",20100703,"KCA",4,33,7,0,0,0,3,1,0,2,3,0,4,1,0,0,0,8,3,2,2,0,0,27,12,0,0,0,0
"1211","ANA201007040",20100704,"KCA",0,34,8,1,0,0,0,0,0,0,4,0,4,0,0,2,0,11,4,11,11,0,0,24,10,1,0,1,0
"1324","ANA201007150",20100715,"SEA",3,34,7,3,0,0,3,0,0,0,2,0,6,0,0,0,0,6,4,8,8,0,0,24,13,0,0,1,0
"1331","ANA201007160",20100716,"SEA",2,32,7,0,0,1,2,0,0,0,0,0,6,1,2,0,0,3,1,3,3,0,0,24,11,1,0,2,0
"1346","ANA201007170",20100717,"SEA",6,35,12,4,0,2,5,0,0,0,1,0,6,0,1,3,0,3,4,6,6,0,0,24,15,3,0,0,0
"1362","ANA201007180",20100718,"SEA",2,34,5,0,0,0,1,1,0,0,6,1,11,3,0,0,0,9,3,1,1,0,1,30,6,1,0,1,0
"1477","ANA201007260",20100726,"BOS",6,37,11,2,1,2,6,0,0,1,1,0,10,1,0,0,0,6,3,3,3,1,0,27,10,0,0,0,0
"1487","ANA201007270",20100727,"BOS",4,37,9,5,0,0,3,0,0,0,5,1,10,0,0,0,0,11,3,2,2,0,0,27,15,1,0,0,0
"1502","ANA201007280",20100728,"BOS",7,38,12,1,1,4,7,1,0,0,8,0,12,0,0,0,0,13,3,3,3,0,0,27,6,0,0,0,0
"1528","ANA201007300",20100730,"TEX",7,40,12,2,0,1,7,0,0,0,2,0,5,3,0,0,0,8,4,9,9,0,0,24,12,1,0,0,0
"1543","ANA201007310",20100731,"TEX",2,31,5,0,0,1,2,0,0,1,2,0,6,1,1,0,0,5,3,1,1,1,0,27,15,1,0,1,0
"1558","ANA201008010",20100801,"TEX",1,33,5,1,0,0,1,0,0,0,4,0,8,2,0,0,0,9,1,4,4,0,0,24,9,0,0,0,0
"1668","ANA201008090",20100809,"KCA",4,34,10,2,0,1,4,1,0,0,2,0,4,0,1,1,0,6,3,6,6,0,1,24,7,0,0,0,0
"1677","ANA201008100",20100810,"KCA",1,31,5,0,0,0,1,0,1,0,2,0,3,0,0,0,0,6,2,3,3,0,0,24,11,0,0,0,0
"1692","ANA201008110",20100811,"KCA",1,38,7,0,0,1,1,0,0,0,2,0,14,1,0,0,0,9,3,2,2,0,0,28,9,0,0,1,0
"1717","ANA201008130",20100813,"TOR",3,33,7,1,1,0,3,0,1,0,5,0,7,0,0,1,0,9,3,0,0,1,0,27,15,0,0,0,0
"1732","ANA201008140",20100814,"TOR",2,30,4,2,0,1,2,1,0,1,4,0,5,1,0,0,0,7,3,7,7,0,0,24,14,0,0,2,0
"1747","ANA201008150",20100815,"TOR",4,34,9,0,0,1,4,0,1,0,5,0,5,0,0,1,0,9,3,1,1,0,0,27,14,1,0,2,0
"1858","ANA201008230",20100823,"TBA",4,33,6,2,0,1,4,0,0,1,5,0,8,0,0,0,0,8,5,2,2,1,0,27,9,1,0,1,0
"1868","ANA201008240",20100824,"TBA",10,35,13,4,0,2,10,1,2,0,5,0,8,2,2,0,0,6,5,3,3,0,0,27,11,0,0,1,0
"1882","ANA201008250",20100825,"TBA",3,34,7,2,0,1,3,0,0,0,5,0,9,0,0,0,0,9,3,12,12,2,0,24,7,0,0,0,0
"1907","ANA201008270",20100827,"BAL",3,31,8,2,0,0,3,1,0,0,1,0,5,1,0,3,0,3,2,1,1,1,2,27,12,0,0,1,0
"1922","ANA201008280",20100828,"BAL",5,36,9,1,0,1,5,0,0,0,3,0,5,2,1,1,0,7,2,0,0,0,0,27,9,0,0,2,0
"1937","ANA201008290",20100829,"BAL",1,30,5,1,0,0,1,0,1,0,1,0,12,0,0,0,0,4,3,0,0,0,0,27,9,0,0,1,0
"2046","ANA201009060",20100906,"CLE",3,32,7,3,0,0,3,0,1,2,5,0,7,1,0,0,0,10,5,2,2,0,0,27,10,0,0,0,0
"2062","ANA201009070",20100907,"CLE",6,33,8,1,0,2,6,0,1,0,8,0,7,1,0,1,0,9,3,1,1,0,0,27,11,0,0,2,0
"2077","ANA201009080",20100908,"CLE",3,59,14,1,0,1,3,1,0,0,7,1,15,0,1,2,0,16,8,4,4,0,0,47,11,0,0,1,0
"2098","ANA201009100",20100910,"SEA",3,50,8,2,0,0,2,0,0,0,1,0,12,1,0,0,0,6,5,4,4,2,0,40,24,1,0,3,0
"2113","ANA201009110",20100911,"SEA",4,35,8,1,1,1,4,0,0,0,2,0,7,0,0,0,0,6,2,4,4,0,0,24,13,2,0,1,0
"2128","ANA201009120",20100912,"SEA",0,31,4,0,0,0,0,0,0,0,5,0,9,1,1,0,0,9,2,2,2,0,0,24,10,1,0,0,0
"2235","ANA201009200",20100920,"TEX",4,39,13,1,0,1,4,0,0,1,3,0,5,0,0,1,0,12,6,6,6,0,0,24,8,1,1,0,0
"2245","ANA201009210",20100921,"TEX",0,30,5,0,0,0,0,1,0,0,1,0,8,1,0,1,0,5,2,2,2,1,0,24,6,1,0,1,0
"2260","ANA201009220",20100922,"TEX",2,40,5,2,0,0,1,1,1,0,4,1,7,1,0,0,0,8,6,1,1,0,0,36,18,0,0,3,0
"2285","ANA201009240",20100924,"CHA",2,30,6,0,0,1,2,0,0,0,1,0,2,2,0,1,0,2,4,1,1,1,0,27,9,2,0,1,0
"2300","ANA201009250",20100925,"CHA",6,34,8,2,0,1,6,2,0,1,1,0,3,1,0,0,0,5,3,2,2,0,0,27,12,0,0,1,0
"2315","ANA201009260",20100926,"CHA",4,34,11,1,1,0,4,2,1,0,0,0,9,1,1,0,0,6,3,3,3,0,0,27,10,0,0,2,0
"2330","ANA201009270",20100927,"OAK",5,41,15,2,1,1,5,0,1,0,6,1,9,3,0,0,0,16,4,6,6,0,1,24,12,0,0,0,0
"2342","ANA201009280",20100928,"OAK",2,35,9,2,0,1,2,0,0,0,3,0,8,0,0,0,0,9,2,3,3,0,0,24,9,1,0,1,0
"2356","ANA201009290",20100929,"OAK",1,40,7,1,0,0,1,1,0,0,2,0,6,1,0,0,0,9,4,2,2,1,0,32,16,1,0,0,0
"6","ARI201004050",20100405,"SDN",3,32,5,2,0,2,3,0,0,0,0,0,6,0,0,0,0,2,4,2,2,0,0,24,4,2,0,1,0
"18","ARI201004060",20100406,"SDN",6,37,10,1,1,2,6,0,0,0,4,0,10,3,0,0,0,8,5,3,3,0,0,27,7,1,0,1,0
"28","ARI201004070",20100407,"SDN",3,34,7,2,0,1,3,0,0,0,1,0,10,0,0,1,0,5,4,5,5,0,0,24,8,0,0,1,0
"54","ARI201004090",20100409,"PIT",1,34,8,1,0,0,1,0,0,0,1,0,9,1,0,0,0,7,4,9,9,2,0,24,11,1,1,2,0
"69","ARI201004100",20100410,"PIT",6,36,9,1,0,2,5,1,0,0,2,0,10,3,0,0,0,6,5,3,3,0,0,27,12,2,0,2,0
"84","ARI201004110",20100411,"PIT",6,37,12,2,1,2,5,1,0,0,2,0,4,1,0,1,0,7,5,15,15,1,0,24,6,1,0,1,0
"189","ARI201004190",20100419,"SLN",4,36,11,2,0,1,3,2,0,0,4,0,5,2,0,0,0,11,4,2,2,0,0,27,9,0,0,1,0
"200","ARI201004200",20100420,"SLN",7,35,9,0,1,3,7,0,0,0,2,1,12,1,2,0,0,3,4,9,9,1,0,24,12,0,0,1,0
"215","ARI201004210",20100421,"SLN",9,36,12,2,1,3,7,1,0,2,0,0,4,0,0,2,0,3,4,4,4,1,0,27,10,0,0,2,0
"241","ARI201004230",20100423,"PHI",4,37,9,1,1,0,3,0,0,0,1,0,8,1,0,0,0,7,4,7,7,0,0,24,6,0,0,1,0
"255","ARI201004240",20100424,"PHI",3,33,6,2,0,3,3,0,0,0,1,0,4,0,0,0,0,4,4,2,2,0,0,27,8,0,0,1,0
"271","ARI201004250",20100425,"PHI",6,36,12,1,0,1,6,1,1,0,1,0,9,1,0,0,0,6,4,8,8,0,0,24,12,0,0,1,0
"431","ARI201005070",20100507,"MIL",3,31,6,2,0,2,2,0,0,0,4,0,8,0,0,1,0,5,4,2,2,0,0,27,9,0,0,1,0
"447","ARI201005080",20100508,"MIL",17,46,17,4,1,2,16,0,0,0,7,0,11,0,0,0,0,9,3,3,3,0,0,27,8,1,0,2,0
"462","ARI201005090",20100509,"MIL",6,38,11,1,1,3,6,0,0,0,2,1,7,2,0,0,0,7,5,1,1,0,0,27,12,0,0,2,0
"473","ARI201005100",20100510,"LAN",7,38,11,2,0,1,7,0,0,0,6,1,3,0,0,0,0,10,4,3,3,1,0,27,10,0,0,2,0
"485","ARI201005110",20100511,"LAN",13,43,17,6,0,1,13,1,1,1,5,0,10,1,0,0,0,11,5,3,3,0,0,27,6,0,0,0,0
"500","ARI201005120",20100512,"LAN",6,34,8,1,0,1,6,1,0,0,4,1,10,2,0,0,0,6,4,2,2,0,0,27,8,1,0,0,0
"597","ARI201005190",20100519,"SFN",1,30,4,3,0,0,1,0,0,0,3,0,11,0,1,0,0,5,3,13,13,1,0,24,6,0,0,1,0
"612","ARI201005200",20100520,"SFN",7,35,11,5,0,2,7,1,2,0,4,1,5,0,0,0,0,8,5,8,8,2,0,24,6,0,0,0,0
"627","ARI201005210",20100521,"TOR",6,38,12,1,0,6,6,0,0,0,0,0,9,0,0,1,0,5,4,8,8,0,0,24,8,0,0,1,0
"642","ARI201005220",20100522,"TOR",5,34,7,1,0,2,5,0,0,0,0,0,11,0,0,0,0,2,5,8,8,0,0,24,9,0,0,1,0
"657","ARI201005230",20100523,"TOR",12,42,17,3,0,2,11,0,1,0,3,1,5,0,0,0,0,7,4,4,4,0,0,27,10,0,0,2,0
"814","ARI201006040",20100604,"COL",6,32,5,0,0,3,6,0,0,2,3,0,14,1,0,1,0,4,7,7,7,0,0,25,6,0,0,0,0
"829","ARI201006050",20100605,"COL",3,32,8,1,0,0,3,0,2,1,7,0,4,4,0,1,0,12,4,3,3,1,0,24,2,2,0,0,0
"844","ARI201006060",20100606,"COL",3,34,10,1,0,1,3,1,0,0,1,0,6,1,0,1,0,6,3,2,2,0,0,27,11,1,0,1,0
"855","ARI201006070",20100607,"ATL",4,36,11,3,0,0,4,0,0,1,6,0,7,0,0,2,0,12,4,7,7,0,0,24,11,0,0,0,0
"868","ARI201006080",20100608,"ATL",7,41,14,2,1,0,6,0,0,0,7,0,8,2,0,0,0,14,5,5,5,0,0,27,9,0,0,0,0
"883","ARI201006090",20100609,"ATL",1,31,5,2,0,0,1,0,0,0,6,0,9,2,0,1,0,9,4,2,2,0,0,24,9,0,0,1,0
"896","ARI201006100",20100610,"ATL",11,39,16,3,0,0,11,0,2,0,9,1,5,2,0,2,0,12,5,4,4,2,0,27,7,1,0,0,0
"911","ARI201006110",20100611,"SLN",5,33,6,2,0,1,5,0,0,0,0,0,6,0,0,0,0,1,6,2,2,0,0,27,14,3,0,2,0
"926","ARI201006120",20100612,"SLN",2,34,7,1,0,1,2,0,0,0,0,0,10,1,0,0,0,5,4,7,7,1,0,24,7,0,0,0,0
"941","ARI201006130",20100613,"SLN",5,39,14,3,0,0,4,0,0,0,4,0,4,0,1,0,0,11,5,7,7,0,0,26,11,0,0,1,0
"1040","ARI201006210",20100621,"NYA",4,33,9,1,1,0,4,1,2,0,3,0,2,1,0,0,0,8,3,10,10,0,0,24,7,0,0,1,0
"1050","ARI201006220",20100622,"NYA",9,37,12,2,0,1,9,0,1,0,2,0,8,0,1,0,0,4,3,3,3,1,0,27,5,0,0,0,0
"1065","ARI201006230",20100623,"NYA",6,33,10,2,0,1,6,0,1,0,13,1,9,2,2,3,0,11,5,5,5,1,1,30,11,0,0,1,0
"1188","ARI201007020",20100702,"LAN",5,37,12,2,0,0,5,0,0,0,3,0,6,1,0,2,0,8,4,12,12,2,0,24,8,1,0,0,0
"1203","ARI201007030",20100703,"LAN",14,44,15,1,0,3,12,0,1,1,2,0,9,0,0,1,0,7,3,1,1,0,0,27,11,0,0,0,0
"1218","ARI201007040",20100704,"LAN",3,32,9,3,0,1,3,0,0,0,3,0,5,0,2,1,0,5,3,1,1,0,0,27,8,0,0,0,0
"1232","ARI201007050",20100705,"CHN",9,35,11,2,1,2,9,1,0,1,2,0,8,0,1,0,0,3,6,4,4,0,0,27,8,0,0,2,0
"1244","ARI201007060",20100706,"CHN",6,36,11,3,1,3,6,0,0,0,3,0,10,0,0,1,0,6,3,3,3,2,0,27,11,1,0,1,0
"1259","ARI201007070",20100707,"CHN",8,38,10,1,0,1,8,0,0,1,4,1,5,1,0,0,0,8,5,3,3,0,0,27,10,1,0,0,0
"1272","ARI201007080",20100708,"FLO",4,33,6,3,1,1,3,0,1,1,0,0,5,0,0,0,0,4,4,8,8,0,0,24,10,3,0,1,0
"1286","ARI201007090",20100709,"FLO",3,37,11,3,0,0,3,0,0,0,3,1,8,0,0,1,0,10,3,2,2,0,0,27,9,0,0,1,0
"1301","ARI201007100",20100710,"FLO",4,34,9,2,0,1,4,1,0,0,2,0,7,1,0,2,0,6,3,5,5,0,0,24,6,0,0,2,0
"1316","ARI201007110",20100711,"FLO",2,30,5,1,0,0,2,0,0,0,1,0,5,1,0,2,0,2,6,0,0,0,0,27,9,0,0,3,0
"1383","ARI201007190",20100719,"NYN",2,35,8,2,0,0,2,1,0,0,3,0,4,0,0,0,0,10,5,13,13,0,0,24,10,2,0,1,0
"1397","ARI201007200",20100720,"NYN",2,31,6,0,0,2,2,0,0,0,1,0,10,0,0,2,0,3,3,3,3,0,0,24,11,0,0,1,0
"1412","ARI201007210",20100721,"NYN",3,48,7,1,0,2,3,0,0,1,5,0,16,1,1,0,0,9,7,4,4,0,0,40,9,1,0,1,0
"1425","ARI201007220",20100722,"SFN",3,33,7,1,0,1,3,1,0,0,1,0,8,2,0,1,0,5,2,0,0,1,0,27,8,0,0,0,0
"1438","ARI201007230",20100723,"SFN",7,37,11,2,1,2,6,2,0,0,4,0,8,0,0,1,0,9,5,4,4,0,0,27,9,0,0,1,0
"1453","ARI201007240",20100724,"SFN",10,37,11,2,0,1,10,1,0,0,6,0,8,0,0,0,0,7,3,4,4,0,0,27,3,0,0,0,0
"1469","ARI201007250",20100725,"SFN",3,37,11,4,0,0,3,1,0,0,6,2,7,1,1,2,0,11,3,2,2,0,0,30,7,0,0,2,0
"1577","ARI201008020",20100802,"WAS",3,33,8,2,0,2,3,1,0,0,2,0,4,1,0,0,0,6,2,1,1,0,0,27,8,0,0,0,0
"1591","ARI201008030",20100803,"WAS",1,30,5,1,0,1,1,0,0,1,2,0,5,0,0,3,0,5,3,6,6,0,0,24,10,0,0,1,0
"1606","ARI201008040",20100804,"WAS",7,36,13,2,0,3,7,0,0,0,4,0,5,1,1,3,0,6,5,2,2,0,0,27,10,0,0,3,0
"1619","ARI201008050",20100805,"WAS",4,34,9,1,0,4,4,0,0,0,2,0,4,0,0,3,0,5,4,4,4,1,0,24,9,3,0,1,0
"1631","ARI201008060",20100806,"SDN",1,31,3,0,0,1,1,0,0,0,2,1,5,0,0,0,0,5,4,2,2,0,0,24,12,0,0,1,0
"1646","ARI201008070",20100807,"SDN",5,36,12,2,0,2,5,1,1,0,2,0,6,0,0,2,0,8,5,6,6,1,0,24,6,0,0,1,0
"1661","ARI201008080",20100808,"SDN",10,36,12,1,1,2,8,0,1,1,3,0,3,0,0,2,0,4,4,1,1,1,0,27,8,0,0,0,0
"1777","ARI201008170",20100817,"CIN",6,35,11,1,0,1,4,0,0,3,3,2,10,1,0,3,0,8,3,2,2,0,0,27,11,0,0,0,0
"1792","ARI201008180",20100818,"CIN",11,42,18,5,1,2,10,1,2,1,0,0,5,1,0,0,0,8,5,7,7,0,0,27,9,1,0,1,0
"1806","ARI201008190",20100819,"CIN",9,38,11,1,0,2,9,0,0,0,5,0,7,0,1,0,0,7,5,5,5,0,0,27,6,0,0,1,0
"1819","ARI201008200",20100820,"COL",3,40,12,4,0,0,3,1,1,2,1,0,5,0,1,0,0,12,5,4,4,0,0,28,16,0,0,1,0
"1835","ARI201008210",20100821,"COL",1,32,4,1,0,0,1,0,0,1,3,0,7,0,0,0,0,8,4,3,3,1,0,24,10,0,0,1,0
"1850","ARI201008220",20100822,"COL",1,33,7,1,0,0,1,0,0,0,4,1,11,1,0,0,0,9,3,0,0,0,0,27,7,0,0,0,0
"1957","ARI201008300",20100830,"SDN",2,34,10,1,1,1,2,0,0,0,0,0,3,0,1,2,0,5,3,7,7,0,0,24,9,0,0,2,0
"1972","ARI201008310",20100831,"SDN",4,35,9,4,0,0,4,0,0,0,3,0,6,1,0,1,0,7,4,7,7,1,0,24,5,0,0,0,0
"1987","ARI201009010",20100901,"SDN",2,33,11,1,0,1,2,2,0,0,1,0,3,0,1,2,0,7,4,4,4,0,0,24,6,1,0,1,0
"2007","ARI201009030",20100903,"HOU",3,37,11,2,0,0,2,0,0,0,1,0,8,0,0,1,0,8,4,4,4,1,0,24,6,0,0,0,0
