"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"7182","MIN201105240",20110524,"SEA",2,33,7,2,0,1,2,0,0,0,0,0,6,0,0,0,0,4,3,4,4,0,1,24,6,1,0,0,0
"7322","MIN201105250",20110525,"SEA",3,31,5,1,1,1,3,0,0,0,3,0,8,0,1,0,0,4,3,0,0,0,0,27,13,0,0,1,0
"7522","MIN201105270",20110527,"ANA",6,38,13,1,1,1,6,0,1,0,1,0,6,0,0,1,0,7,6,4,4,0,0,27,9,2,0,2,0
"7662","MIN201105280",20110528,"ANA",0,31,1,1,0,0,0,0,0,0,2,0,5,0,0,0,0,3,3,1,1,0,0,28,8,1,0,1,0
"7822","MIN201105290",20110529,"ANA",6,37,11,1,1,1,5,0,0,0,1,0,3,2,1,0,0,5,4,5,5,0,0,27,14,0,0,2,0
"9372","MIN201106090",20110609,"TEX",4,36,12,1,0,2,4,2,1,1,1,1,8,0,1,0,0,10,3,5,5,0,0,26,8,1,0,0,0
"9512","MIN201106100",20110610,"TEX",9,41,13,2,0,0,8,0,0,2,1,0,3,1,0,0,0,8,3,3,3,0,0,27,13,0,0,1,0
"9662","MIN201106110",20110611,"TEX",1,31,5,1,0,0,1,0,0,0,0,0,7,0,0,1,0,3,4,8,8,1,0,24,9,0,0,1,0
"9813","MIN201106120",20110612,"TEX",1,30,2,0,0,0,1,0,0,0,0,0,10,0,0,0,0,2,4,1,1,2,0,24,7,2,0,1,0
"10172","MIN201106150",20110615,"CHA",1,29,6,3,0,0,1,0,0,0,3,0,5,0,0,4,0,4,1,4,4,0,0,24,6,0,0,2,0
"10302","MIN201106160",20110616,"CHA",0,34,8,0,0,0,0,0,0,1,1,0,3,0,0,2,0,9,3,1,1,0,0,24,11,1,0,0,0
"10462","MIN201106170",20110617,"SDN",5,38,11,2,0,1,5,0,0,0,1,0,9,0,0,0,0,7,3,5,5,1,0,24,7,3,1,1,0
"10613","MIN201106180",20110618,"SDN",0,31,4,0,1,0,0,0,0,0,1,0,11,0,0,0,0,5,3,1,1,0,1,24,14,0,0,0,0
"10762","MIN201106190",20110619,"SDN",4,35,11,0,0,0,4,0,1,0,3,1,11,2,1,1,0,8,3,3,2,0,0,25,9,1,0,1,0
"11752","MIN201106270",20110627,"LAN",15,49,25,2,1,3,14,0,2,0,3,0,4,2,0,1,0,12,4,0,0,0,0,27,8,1,0,2,0
"11882","MIN201106280",20110628,"LAN",4,30,7,0,0,1,4,0,1,1,6,0,5,0,0,2,0,7,4,6,6,0,1,24,11,1,0,0,0
"12032","MIN201106290",20110629,"LAN",0,33,7,1,0,0,0,1,0,0,1,0,11,2,0,0,0,8,3,1,1,0,0,24,9,0,0,0,0
"12272","MIN201107010",20110701,"MIL",2,31,4,1,0,1,2,0,0,0,2,0,8,0,0,0,0,4,3,4,4,2,0,24,9,1,0,1,0
"12432","MIN201107020",20110702,"MIL",8,40,13,3,1,1,8,0,0,0,0,0,5,0,0,1,0,5,4,7,7,0,0,27,12,1,0,1,0
"12582","MIN201107030",20110703,"MIL",7,37,10,1,1,2,7,0,0,0,4,1,6,0,0,0,0,7,3,7,7,0,0,24,9,2,0,0,0
"12762","MIN201107040",20110704,"TBA",0,30,6,0,0,0,0,0,0,0,4,0,7,0,1,2,0,7,3,7,7,0,0,24,13,1,0,0,0
"12913","MIN201107050",20110705,"TBA",2,35,7,1,0,1,1,0,0,0,2,0,5,1,0,0,0,8,3,2,2,0,0,24,12,1,0,1,0
"13062","MIN201107060",20110706,"TBA",12,39,14,1,0,3,12,1,0,3,6,0,9,0,0,1,0,10,5,4,4,1,0,27,13,0,1,2,0
"13712","MIN201107140",20110714,"KCA",4,34,9,2,0,0,2,0,1,0,4,0,7,1,0,1,0,8,6,8,8,0,0,24,8,0,0,1,0
"13842","MIN201107150",20110715,"KCA",2,31,6,1,0,1,2,0,0,0,3,0,4,2,0,1,0,5,3,1,1,1,0,27,12,0,0,0,0
"13992","MIN201107160",20110716,"KCA",3,33,7,1,0,1,3,0,0,0,1,0,5,2,0,0,0,4,2,4,4,0,0,24,17,1,0,0,0
"14152","MIN201107170",20110717,"KCA",3,33,7,3,0,1,3,0,0,0,0,0,3,0,1,1,0,3,2,4,4,0,0,24,10,1,0,2,0
"14292","MIN201107181",20110718,"CLE",5,35,7,0,0,2,5,0,0,0,1,0,6,1,0,0,0,4,4,2,2,0,0,27,14,1,0,2,0
"14302","MIN201107182",20110718,"CLE",6,37,11,2,1,1,6,1,0,0,3,1,3,1,1,0,0,8,4,3,3,0,0,27,15,1,0,0,0
"14442","MIN201107190",20110719,"CLE",1,30,5,0,0,0,1,0,1,1,4,0,9,0,1,0,0,8,3,2,2,0,0,25,15,1,0,1,0
"14592","MIN201107200",20110720,"CLE",5,32,8,2,0,1,3,1,1,0,2,0,7,0,2,0,0,4,4,7,7,0,0,24,8,0,0,2,0
"14672","MIN201107210",20110721,"DET",6,36,12,2,0,2,6,0,1,1,3,0,5,0,0,2,0,8,2,1,1,0,0,27,10,1,0,0,0
"14822","MIN201107220",20110722,"DET",8,40,13,1,0,2,8,0,0,1,2,0,10,0,0,0,0,8,4,2,2,0,0,27,12,0,0,2,0
"14962","MIN201107230",20110723,"DET",1,33,8,3,0,0,1,0,0,0,2,0,9,0,1,1,0,7,3,4,4,1,0,24,10,1,0,3,0
"15113","MIN201107240",20110724,"DET",5,36,9,1,0,0,3,0,0,0,7,0,7,1,0,1,0,11,4,2,2,0,0,27,10,0,0,1,0
"16752","MIN201108050",20110805,"CHA",5,36,9,0,0,2,4,1,0,1,7,1,3,1,1,0,0,13,2,0,0,0,0,27,14,1,0,0,0
"16902","MIN201108060",20110806,"CHA",6,37,11,1,0,1,4,0,0,1,3,0,6,4,0,1,0,8,4,1,1,1,0,27,18,1,0,1,0
"17052","MIN201108070",20110807,"CHA",7,37,12,4,0,4,7,1,0,0,1,0,4,0,1,1,0,5,2,0,0,0,0,27,7,0,0,0,0
"17152","MIN201108080",20110808,"BOS",8,40,17,2,1,2,7,1,1,0,1,1,6,0,1,1,0,8,3,4,4,0,0,27,14,2,1,1,0
"17282","MIN201108090",20110809,"BOS",4,31,6,1,0,1,4,0,0,0,9,0,6,0,0,1,0,9,5,3,3,0,0,27,11,0,0,0,0
"17432","MIN201108100",20110810,"BOS",2,36,8,1,0,1,2,0,0,0,2,0,6,0,0,0,0,9,3,5,5,0,0,24,13,0,0,2,0
"18502","MIN201108180",20110818,"NYA",8,40,15,2,1,3,8,0,1,0,4,0,3,0,0,1,0,10,3,3,3,0,0,27,11,1,0,0,0
"18642","MIN201108190",20110819,"NYA",8,39,13,4,0,2,8,0,1,0,3,0,6,1,0,0,0,8,3,1,1,0,0,27,9,0,0,1,0
"18792","MIN201108200",20110820,"NYA",4,32,7,1,0,1,3,0,0,0,3,0,7,0,0,2,0,4,5,9,9,2,0,24,10,1,0,1,0
"18942","MIN201108210",20110821,"NYA",3,32,6,1,0,2,3,0,1,1,6,0,4,2,0,1,0,10,3,0,0,0,0,27,8,1,0,1,0
"19052","MIN201108220",20110822,"BAL",4,34,9,1,0,2,4,1,0,0,2,0,4,1,1,0,0,6,4,1,1,0,0,27,9,0,0,1,0
"19192","MIN201108230",20110823,"BAL",8,38,13,3,1,1,8,0,0,0,4,0,5,0,0,2,0,7,2,1,1,0,0,27,11,0,0,1,0
"19352","MIN201108240",20110824,"BAL",6,38,12,3,1,1,5,0,0,1,1,0,5,0,0,2,0,7,3,1,1,0,0,27,13,0,0,1,0
"19442","MIN201108250",20110825,"BAL",6,36,11,1,0,1,6,0,0,0,5,0,4,0,0,2,0,8,3,1,1,1,0,27,15,0,0,1,0
"19602","MIN201108260",20110826,"DET",8,38,15,2,0,0,8,1,2,0,4,1,6,0,0,1,0,10,3,1,1,0,0,27,14,0,0,3,0
"19732","MIN201108270",20110827,"DET",6,36,10,1,0,2,6,1,0,0,1,0,5,0,0,1,0,5,4,4,4,0,0,27,10,0,0,2,0
"19862","MIN201108280",20110828,"DET",4,32,11,2,0,0,4,0,1,1,3,0,6,0,0,4,0,6,3,11,11,1,0,24,13,0,0,1,0
"20992","MIN201109051",20110905,"CHA",2,31,7,2,0,0,2,0,0,1,0,0,6,1,2,1,0,3,4,1,1,0,0,27,10,1,0,1,0
"21002","MIN201109052",20110905,"CHA",4,41,13,2,0,0,4,0,0,0,3,0,9,1,0,0,0,13,1,0,0,0,0,27,9,0,0,0,0
"21152","MIN201109060",20110906,"CHA",3,28,4,0,1,1,3,0,0,0,4,0,5,0,1,1,0,2,5,0,0,1,0,27,8,0,0,0,0
"21292","MIN201109070",20110907,"CHA",4,39,12,4,0,0,4,0,1,1,3,1,4,0,0,1,0,13,2,4,4,0,0,24,14,1,0,0,0
"22502","MIN201109160",20110916,"CLE",7,35,10,1,0,2,6,0,0,2,4,1,4,1,0,1,0,7,4,3,3,0,0,27,8,2,0,0,0
"22652","MIN201109170",20110917,"CLE",10,41,14,2,2,1,10,0,0,0,4,0,7,0,0,0,0,8,5,4,4,1,0,27,14,1,0,1,0
"22802","MIN201109180",20110918,"CLE",6,37,8,1,0,1,6,0,0,0,4,0,10,2,0,0,0,8,5,3,3,0,0,27,14,4,1,2,0
"23082","MIN201109200",20110920,"SEA",5,40,13,5,1,1,5,0,0,0,2,0,10,0,0,0,0,10,4,3,3,0,0,27,10,3,0,1,0
"23232","MIN201109210",20110921,"SEA",5,35,8,3,0,0,5,1,0,0,0,0,9,0,0,0,0,4,6,4,4,4,0,27,13,0,0,1,0
"23342","MIN201109220",20110922,"SEA",2,35,13,1,0,0,2,2,1,0,3,0,5,3,1,0,0,12,3,3,3,0,0,26,13,2,0,2,0
"23962","MIN201109260",20110926,"KCA",7,37,14,2,0,1,7,0,3,0,2,1,5,4,1,0,0,8,4,3,3,0,0,27,10,1,0,0,0
"24112","MIN201109270",20110927,"KCA",4,38,14,5,1,0,4,0,1,1,0,0,9,0,0,0,0,9,2,7,7,2,0,24,9,1,0,1,0
"24262","MIN201109280",20110928,"KCA",0,30,5,1,1,0,0,0,0,0,0,0,3,1,1,0,0,3,2,1,1,0,0,26,9,0,0,0,0
"5103","NYA201103310",20110331,"DET",3,31,6,1,0,0,3,1,2,0,2,0,10,0,0,0,0,6,4,5,5,3,0,24,9,1,0,0,0
"2712","NYA201104020",20110402,"DET",6,36,10,2,0,2,5,1,0,0,3,0,9,0,0,1,0,7,6,10,10,1,0,24,8,2,0,0,0
"4112","NYA201104030",20110403,"DET",10,39,14,2,0,3,10,0,1,0,3,0,7,1,0,1,0,6,4,7,7,1,0,27,8,1,0,0,0
"5012","NYA201104040",20110404,"MIN",3,34,8,4,0,0,3,0,0,0,1,0,5,0,0,2,0,5,3,4,4,0,0,24,9,0,0,3,0
"6213","NYA201104050",20110405,"MIN",5,36,7,1,0,0,5,0,0,0,6,0,10,0,0,1,0,7,3,4,4,0,0,30,14,0,0,1,0
"8813","NYA201104070",20110407,"MIN",3,33,6,4,0,0,3,0,0,1,2,0,5,1,0,0,0,6,4,4,4,0,0,24,7,1,0,0,0
"16912","NYA201104130",20110413,"BAL",4,35,8,3,0,2,4,0,0,0,2,0,8,0,0,0,0,6,4,7,7,0,0,24,11,0,0,2,0
"17913","NYA201104140",20110414,"BAL",5,38,11,2,0,1,5,0,1,0,1,0,7,0,0,1,0,5,5,6,6,0,0,29,12,0,0,1,0
"19312","NYA201104150",20110415,"TEX",5,29,4,2,0,0,3,0,0,1,7,0,6,0,1,1,0,5,2,2,2,0,0,27,17,1,0,6,0
"20712","NYA201104160",20110416,"TEX",2,33,7,2,0,0,2,0,0,0,2,0,4,0,0,1,0,6,2,5,5,1,0,24,14,1,0,1,0
"22313","NYA201104170",20110417,"TEX",5,35,10,3,0,1,5,0,0,0,3,0,8,1,0,3,0,6,3,6,6,0,0,24,8,0,0,1,0
"3272","NYA201104250",20110425,"CHA",2,30,5,1,0,0,2,0,0,0,3,0,2,1,0,2,0,4,3,0,0,0,0,27,11,0,0,2,0
"3413","NYA201104260",20110426,"CHA",3,35,10,0,0,1,3,0,0,1,4,0,6,1,2,0,0,10,3,2,2,0,0,27,10,0,0,1,0
"3552","NYA201104270",20110427,"CHA",1,32,7,1,0,0,1,0,0,1,1,0,7,0,0,2,0,6,2,3,3,0,0,24,4,0,0,0,0
"3662","NYA201104280",20110428,"CHA",3,37,9,1,0,0,2,0,0,0,1,0,6,0,0,0,0,8,4,12,12,1,0,24,15,0,0,2,0
"3802","NYA201104290",20110429,"TOR",5,36,9,0,0,2,4,0,0,0,7,1,10,3,0,0,0,11,5,3,3,0,0,27,8,1,0,1,0
"3952","NYA201104300",20110430,"TOR",4,34,11,3,1,1,4,0,2,0,0,0,4,3,1,0,0,5,5,5,5,1,0,24,10,0,0,2,0
"4103","NYA201105010",20110501,"TOR",2,32,6,1,0,1,2,0,0,0,6,0,7,3,1,0,0,9,3,5,5,1,0,24,12,0,0,2,0
"5302","NYA201105100",20110510,"KCA",1,31,7,0,0,1,1,0,0,0,3,0,8,2,1,1,0,6,3,3,3,0,0,24,4,0,0,1,0
"5442","NYA201105110",20110511,"KCA",4,35,4,1,0,1,4,1,1,1,11,2,12,2,1,0,0,12,6,3,3,0,0,33,12,0,0,2,0
"5522","NYA201105120",20110512,"KCA",11,44,16,6,0,2,10,0,0,2,4,1,7,0,0,0,0,12,2,5,5,0,0,27,11,0,0,0,0
"5642","NYA201105130",20110513,"BOS",5,35,9,0,0,2,5,1,1,0,5,1,6,1,0,0,0,10,3,4,4,1,0,27,12,1,0,0,0
"5782","NYA201105140",20110514,"BOS",6,36,11,1,0,1,6,0,0,1,3,1,8,1,0,2,0,7,3,0,0,0,0,27,5,0,0,0,0
"5902","NYA201105150",20110515,"BOS",7,35,8,2,0,3,6,0,1,1,6,1,9,1,0,1,0,9,4,4,4,0,0,27,12,1,0,0,0
"6632","NYA201105200",20110520,"NYN",2,34,7,3,0,1,2,0,0,0,2,0,6,1,0,0,0,7,4,1,1,0,0,27,7,1,0,1,0
"6782","NYA201105210",20110521,"NYN",3,33,7,1,0,0,3,0,1,0,3,0,8,1,0,0,0,7,3,7,7,0,0,24,8,0,0,0,0
"6932","NYA201105220",20110522,"NYN",3,36,11,1,0,0,3,0,0,0,1,0,3,1,0,2,0,7,4,9,9,0,0,24,9,1,0,0,0
"7032","NYA201105230",20110523,"TOR",7,34,9,3,0,1,7,1,0,0,4,2,8,0,1,0,0,5,5,3,3,0,0,27,6,2,0,0,0
"7192","NYA201105240",20110524,"TOR",4,33,8,1,0,0,4,2,0,0,1,0,3,0,0,1,0,5,4,5,5,0,0,26,14,0,0,2,0
"7332","NYA201105250",20110525,"TOR",3,35,10,3,1,0,3,0,0,1,1,0,6,1,1,1,0,7,3,7,7,1,0,24,11,2,0,1,0
"9092","NYA201106070",20110607,"BOS",6,31,7,2,1,2,6,0,1,0,5,1,3,0,1,0,0,4,5,4,4,0,0,27,7,0,0,1,0
"9242","NYA201106080",20110608,"BOS",11,36,11,2,0,3,11,0,1,0,8,1,8,2,0,1,0,7,2,6,6,1,0,27,8,0,1,1,0
"9382","NYA201106090",20110609,"BOS",8,38,12,4,1,0,8,0,0,1,2,0,6,1,0,1,0,6,3,3,3,0,0,27,9,1,0,1,0
"9522","NYA201106100",20110610,"CLE",7,36,9,1,0,1,7,0,0,0,8,0,8,0,0,0,0,10,5,10,10,1,0,24,12,1,0,0,0
"9672","NYA201106110",20110611,"CLE",0,32,5,1,0,0,0,0,0,0,1,0,11,0,0,0,0,6,3,4,4,0,0,24,8,3,0,1,0
"9822","NYA201106120",20110612,"CLE",1,36,8,3,0,0,1,0,0,0,4,0,8,5,0,0,0,12,4,9,9,1,0,24,8,0,0,2,0
"9913","NYA201106130",20110613,"CLE",1,33,5,1,1,0,1,0,0,0,1,0,9,0,0,0,0,6,4,0,0,0,0,27,5,0,0,1,0
"10022","NYA201106140",20110614,"TEX",4,35,8,1,0,0,4,0,0,0,2,0,9,0,0,0,0,6,5,12,12,0,0,24,10,0,0,2,0
"10182","NYA201106150",20110615,"TEX",4,34,10,1,0,1,4,0,1,0,4,0,4,1,0,1,0,8,4,12,12,0,0,24,12,0,0,1,0
"10312","NYA201106160",20110616,"TEX",2,42,9,2,0,0,2,0,0,2,4,2,6,0,2,1,0,10,3,3,3,0,0,34,17,1,0,3,0
"11382","NYA201106240",20110624,"COL",4,36,9,3,0,2,4,0,0,0,6,0,7,1,0,1,0,11,3,2,2,0,0,27,6,1,0,1,0
"11532","NYA201106250",20110625,"COL",3,34,8,1,0,1,3,0,0,0,3,0,10,0,0,1,0,7,4,7,7,0,0,24,16,1,0,3,0
"11682","NYA201106260",20110626,"COL",4,32,7,0,0,3,4,0,1,0,3,0,10,2,0,2,0,5,4,5,5,0,0,24,9,1,0,1,0
"11892","NYA201106280",20110628,"MIL",2,35,11,3,0,0,2,0,1,1,0,0,4,2,0,0,0,8,5,12,12,2,1,24,7,0,0,0,0
"12042","NYA201106290",20110629,"MIL",2,33,8,0,0,0,2,0,0,0,2,0,7,2,0,2,0,6,4,5,5,0,0,24,5,0,0,0,0
"12152","NYA201106300",20110630,"MIL",0,32,6,0,0,0,0,0,0,0,2,0,14,0,0,1,0,7,2,4,4,0,0,24,9,1,0,1,0
"13213","NYA201107070",20110707,"TBA",5,35,12,2,1,2,5,0,0,0,5,0,5,1,1,2,0,8,3,1,1,1,0,27,12,0,0,0,0
"13502","NYA201107090",20110709,"TBA",4,31,5,0,1,2,4,1,0,0,4,1,13,4,0,0,0,5,4,5,5,0,0,24,11,0,0,3,0
"13652","NYA201107100",20110710,"TBA",0,28,4,2,0,0,0,0,0,0,1,0,9,0,2,0,0,2,1,0,0,0,0,24,9,2,0,1,0
"14832","NYA201107220",20110722,"OAK",7,40,13,4,0,1,7,1,0,1,4,0,6,0,0,0,0,12,7,17,17,0,0,24,10,1,0,2,0
"14972","NYA201107230",20110723,"OAK",4,36,10,3,0,2,4,0,0,2,5,0,8,0,0,0,0,12,5,3,3,0,0,27,9,0,0,1,0
"15122","NYA201107240",20110724,"OAK",5,39,15,6,0,0,5,0,0,0,2,0,5,0,1,1,0,9,4,7,7,0,0,24,9,1,0,1,0
"15222","NYA201107250",20110725,"SEA",3,33,8,3,0,0,3,0,1,0,1,0,7,0,0,0,0,5,3,6,6,1,0,24,8,2,0,1,0
"15362","NYA201107260",20110726,"SEA",1,28,1,0,0,0,1,0,0,0,3,0,18,0,0,0,0,3,2,4,4,0,0,24,13,0,0,1,0
"15513","NYA201107270",20110727,"SEA",9,42,17,4,2,0,9,0,0,0,2,0,7,2,0,1,0,8,3,2,2,0,0,27,14,1,0,1,0
"15782","NYA201107290",20110729,"BAL",4,34,7,3,0,2,4,0,0,1,2,0,11,0,0,0,0,6,3,2,2,0,0,27,10,1,0,1,0
"15932","NYA201107301",20110730,"BAL",3,37,9,3,0,1,3,0,0,1,2,0,9,2,0,0,0,10,3,6,5,0,0,24,5,1,0,0,0
"15942","NYA201107302",20110730,"BAL",3,35,9,2,0,1,3,0,0,0,1,0,8,0,0,1,0,6,6,14,11,0,0,24,6,2,1,1,0
"16092","NYA201107310",20110731,"BAL",2,32,6,0,0,0,2,0,0,0,2,0,10,4,0,0,0,5,3,2,2,0,0,24,11,1,0,1,0
"17292","NYA201108090",20110809,"ANA",6,36,10,1,0,2,5,1,0,0,3,1,10,1,0,0,0,7,5,4,4,0,0,27,11,0,0,0,0
"17442","NYA201108100",20110810,"ANA",3,33,8,1,0,1,2,0,0,0,3,0,3,0,1,1,0,6,2,9,9,2,0,24,13,0,0,0,0
"17552","NYA201108110",20110811,"ANA",5,36,9,2,0,2,5,0,0,0,2,0,4,0,0,0,0,6,5,2,2,0,0,24,15,1,0,2,0
"17692","NYA201108120",20110812,"TBA",5,37,12,2,0,5,5,1,0,0,1,0,8,0,1,1,0,7,2,1,1,0,0,27,18,0,0,2,0
"17842","NYA201108130",20110813,"TBA",2,32,5,1,1,1,2,0,0,0,1,0,8,0,0,1,0,4,4,9,9,0,0,24,6,0,0,1,0
"19202","NYA201108230",20110823,"OAK",6,36,11,3,0,3,6,0,1,0,0,0,9,0,0,0,0,4,3,4,4,0,0,27,8,1,0,1,0
"19362","NYA201108240",20110824,"OAK",6,36,11,3,0,2,6,1,0,0,2,0,10,0,1,1,0,3,5,4,4,0,0,30,9,0,0,1,0
"19452","NYA201108250",20110825,"OAK",9,40,15,4,1,2,9,1,1,0,2,0,13,2,0,0,0,8,6,22,22,1,0,24,6,0,0,0,0
"20562","NYA201109020",20110902,"TOR",2,29,4,1,0,0,2,0,1,0,2,1,6,0,1,0,0,3,3,3,3,1,0,24,6,2,0,0,0
"20713","NYA201109030",20110903,"TOR",4,34,8,1,1,2,4,0,1,0,1,0,11,0,0,0,0,5,3,6,6,0,0,24,13,0,0,2,0
"20862","NYA201109040",20110904,"TOR",3,35,8,1,0,1,3,0,0,0,2,0,12,0,0,0,0,7,4,8,8,1,0,24,10,3,0,0,0
"21013","NYA201109050",20110905,"BAL",10,42,17,2,0,3,9,0,0,2,3,0,5,4,0,2,0,10,5,11,11,0,0,24,9,0,0,1,0
"21162","NYA201109060",20110906,"BAL",3,34,7,2,0,1,3,1,0,1,2,0,8,1,0,1,0,8,3,4,4,0,0,24,5,3,0,1,0
"21302","NYA201109070",20110907,"BAL",5,43,8,1,0,1,5,0,0,0,8,3,15,5,0,1,0,13,8,4,4,0,0,33,17,2,0,2,0
"22932","NYA201109190",20110919,"MIN",4,38,12,1,0,2,4,0,0,0,2,0,12,4,1,0,0,9,5,6,6,0,0,24,12,1,0,3,0
"23092","NYA201109200",20110920,"TBA",0,30,6,1,0,0,0,0,0,2,4,0,3,0,0,2,0,9,4,5,5,1,0,24,4,0,0,0,0
"23242","NYA201109211",20110921,"TBA",2,35,9,2,0,1,2,0,0,2,2,0,10,1,0,0,0,10,3,4,4,0,0,24,6,0,0,1,0
"23252","NYA201109212",20110921,"TBA",2,33,8,0,0,2,2,0,0,0,2,0,7,0,0,3,0,6,5,4,4,1,0,24,11,0,0,1,0
"23352","NYA201109220",20110922,"TBA",15,43,17,1,1,3,14,0,3,2,8,0,3,0,0,1,0,14,6,7,7,2,0,27,6,1,0,0,0
"23652","NYA201109240",20110924,"BOS",1,36,9,1,0,0,1,0,0,0,1,0,6,1,0,1,0,9,5,9,9,0,0,24,6,0,0,0,0
"23802","NYA201109251",20110925,"BOS",2,30,6,1,0,2,2,0,0,0,2,0,9,0,1,2,0,3,4,4,4,1,0,24,11,2,1,1,0
"23813","NYA201109252",20110925,"BOS",7,52,15,2,1,1,7,1,0,1,2,1,9,0,2,1,0,7,6,3,3,0,0,42,15,1,0,2,0
"9413","NYN201104080",20110408,"WAS",6,32,9,0,0,0,6,0,0,0,9,0,6,0,0,2,0,8,6,2,2,1,0,27,7,0,1,0,0
"10813","NYN201104090",20110409,"WAS",4,34,8,1,0,2,4,0,0,1,4,0,11,0,0,1,0,8,3,7,7,0,0,24,2,1,0,1,0
"12413","NYN201104100",20110410,"WAS",7,38,7,2,0,1,7,2,0,1,6,0,7,3,0,0,0,7,5,3,3,0,0,33,9,0,1,0,0
"13713","NYN201104110",20110411,"COL",7,37,11,2,1,1,7,1,1,1,6,0,7,3,0,0,0,12,5,4,4,0,0,27,10,2,0,1,0
"16013","NYN201104130",20110413,"COL",5,34,8,3,0,2,5,1,0,0,6,1,10,2,0,0,0,9,5,4,4,2,0,27,14,0,0,0,0
"17413","NYN201104141",20110414,"COL",6,34,10,3,0,2,6,2,0,0,5,0,6,0,0,1,0,8,6,5,5,1,0,27,13,0,0,2,0
"17512","NYN201104142",20110414,"COL",9,40,13,1,0,2,9,0,0,1,2,0,10,1,0,0,0,7,4,4,4,1,0,27,7,1,0,0,0
"24113","NYN201104190",20110419,"HOU",6,35,11,1,0,0,4,1,0,0,6,1,7,1,0,2,0,9,3,1,1,0,0,27,7,1,0,0,0
"2562","NYN201104200",20110420,"HOU",4,33,8,2,0,1,3,0,0,1,2,0,4,0,0,3,0,5,5,3,3,0,0,27,9,0,0,2,0
"2702","NYN201104210",20110421,"HOU",1,32,7,3,0,0,1,0,0,0,2,0,6,0,0,1,0,6,3,6,6,1,0,24,8,1,0,0,0
"2812","NYN201104220",20110422,"ARI",1,32,5,3,1,0,1,0,0,0,3,0,6,0,1,0,0,7,4,2,2,0,0,24,6,2,1,1,0
"2932","NYN201104230",20110423,"ARI",4,36,8,0,1,1,4,0,0,0,1,0,11,2,0,0,0,6,5,6,6,0,1,24,8,0,0,1,0
"3082","NYN201104240",20110424,"ARI",4,34,8,3,0,0,4,1,0,0,3,0,4,0,0,0,0,7,4,4,4,0,1,24,9,1,0,0,0
"4252","NYN201105030",20110503,"SFN",7,41,11,0,0,2,7,0,0,0,3,2,5,3,0,0,0,7,6,6,6,0,0,30,16,0,0,3,0
"4412","NYN201105040",20110504,"SFN",2,35,9,2,0,0,2,0,0,1,4,1,8,1,1,0,0,11,5,0,0,0,0,27,5,2,0,1,0
"4552","NYN201105050",20110505,"SFN",2,31,5,0,0,1,2,0,0,0,4,0,7,0,1,2,0,6,3,5,5,0,0,24,11,0,0,2,0
"4662","NYN201105060",20110506,"LAN",3,37,10,0,0,1,3,0,0,0,4,1,8,0,0,0,0,11,4,6,6,0,0,24,7,0,0,1,0
"4812","NYN201105070",20110507,"LAN",2,34,8,1,0,1,2,2,0,2,5,0,9,1,0,0,0,14,4,3,3,0,0,24,10,1,0,1,0
"4962","NYN201105080",20110508,"LAN",4,34,10,0,0,1,4,1,0,1,2,0,5,0,0,1,0,7,4,2,2,0,0,27,7,0,0,0,0
"5992","NYN201105160",20110516,"FLO",2,40,9,0,0,1,2,2,0,1,4,1,5,0,0,0,0,12,7,1,1,1,0,33,10,1,0,1,0
"6242","NYN201105180",20110518,"WAS",0,34,8,2,0,0,0,1,0,0,2,0,8,1,0,0,0,10,4,3,3,0,0,24,6,1,0,1,0
"6392","NYN201105190",20110519,"WAS",0,29,3,1,0,0,0,0,0,0,3,0,3,0,0,1,0,5,3,1,1,0,0,24,7,0,0,1,0
"7492","NYN201105270",20110527,"PHI",6,35,11,1,0,0,6,1,1,1,2,1,9,2,0,1,0,7,4,3,3,0,0,27,13,3,0,2,0
"7642","NYN201105280",20110528,"PHI",5,33,8,5,0,0,5,1,0,0,3,0,7,2,0,1,0,5,3,2,2,0,0,27,13,0,0,0,0
"7782","NYN201105290",20110529,"PHI",5,37,11,3,0,1,5,0,0,0,5,0,8,2,0,1,0,10,4,6,6,0,0,24,14,1,1,1,0
"7932","NYN201105300",20110530,"PIT",3,31,5,0,0,1,3,0,0,0,1,0,10,0,1,0,0,2,4,5,5,1,0,24,10,0,2,2,0
"8082","NYN201105310",20110531,"PIT",5,35,7,1,0,0,5,0,0,1,3,0,11,2,0,0,0,7,4,1,1,0,0,27,9,0,0,1,0
"8232","NYN201106010",20110601,"PIT",9,37,14,1,0,0,9,0,1,1,3,0,4,1,1,1,0,6,5,3,3,0,0,27,12,0,0,1,0
"8342","NYN201106020",20110602,"PIT",8,39,14,0,1,1,8,0,0,0,2,0,7,3,1,0,0,6,4,8,8,1,1,24,6,1,1,0,0
"8432","NYN201106030",20110603,"ATL",6,38,11,5,0,2,5,0,0,0,3,2,9,0,0,0,0,8,4,3,3,0,0,27,15,1,0,1,0
"8582","NYN201106040",20110604,"ATL",0,28,4,1,0,0,0,2,0,0,2,0,2,0,1,0,0,5,3,4,3,1,0,24,5,1,0,1,0
"8732","NYN201106050",20110605,"ATL",4,33,6,2,0,2,4,0,0,0,2,0,5,0,0,0,0,4,3,6,6,1,0,24,8,0,0,0,0
