"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS"
"1","ANA201403310","ANA",20140331,3,34,6,1,0,1,3,0,0,1,1,0,13,1,0,0,0,6,5,9,9,0,0,27,7,1,0,0,0,"hernf002","6","18"
"2","ANA201403310","SEA",20140331,10,36,11,4,2,1,10,0,1,0,8,1,11,1,1,0,0,8,5,2,2,2,0,27,5,1,0,0,0,"weavj003","7","19"
"3","ANA201404010","ANA",20140401,3,33,8,2,0,1,2,0,0,1,1,0,8,0,0,2,0,5,3,8,8,1,0,27,6,0,0,0,0,"ramie004","7","21"
"4","ANA201404010","SEA",20140401,8,36,10,3,0,2,8,0,0,0,3,1,12,1,1,0,0,4,4,2,2,0,0,27,14,2,0,2,0,"wilsc004","6","17"
"5","ANA201404020","ANA",20140402,2,29,3,2,1,0,2,0,1,0,2,0,11,0,0,1,0,3,5,8,8,0,0,27,8,1,0,2,0,"paxtj001","7","21"
"6","ANA201404020","SEA",20140402,8,38,13,2,0,3,8,0,0,0,4,0,9,0,0,2,0,7,3,2,2,1,0,27,11,0,0,1,0,"santh001","6","15"
"7","ANA201404110","ANA",20140411,5,42,11,1,0,2,5,0,0,1,10,2,8,0,0,0,0,17,5,4,4,1,0,33,17,0,0,1,0,"gee-d001","6","17"
"8","ANA201404110","NYN",20140411,4,41,10,3,0,1,3,0,0,0,0,0,9,0,1,1,0,4,6,5,5,1,0,31,11,0,0,0,0,"skagt001","7","21"
"9","ANA201404120","ANA",20140412,6,45,9,1,0,3,6,0,0,0,2,0,7,0,0,2,0,2,8,7,7,1,0,39,10,0,0,1,0,"niesj001","8","22"
"10","ANA201404120","NYN",20140412,7,47,11,0,0,2,7,1,0,1,8,0,14,2,1,0,0,11,6,6,6,0,0,39,19,0,0,3,0,"weavj003","7","20"
"11","ANA201404130","ANA",20140413,14,40,17,4,2,5,12,0,0,0,6,1,7,0,0,1,0,8,3,2,2,2,0,27,14,0,0,3,0,"colob001","5","15"
"12","ANA201404130","NYN",20140413,2,30,6,1,0,0,1,0,0,0,4,0,11,0,1,2,0,5,4,14,14,3,0,24,9,0,0,1,0,"wilsc004","7","21"
"13","ANA201404140","ANA",20140414,2,33,5,1,0,1,2,0,0,0,0,0,9,0,0,0,0,4,4,3,3,0,0,27,9,0,0,2,0,"chavj001","7","21"
"14","ANA201404140","OAK",20140414,3,34,9,0,0,2,3,0,0,1,1,0,4,1,0,2,0,6,3,1,1,1,0,27,11,1,1,0,0,"santh001","7","21"
"15","ANA201404150","ANA",20140415,9,46,12,3,0,2,9,0,0,0,4,1,10,2,0,0,0,8,7,10,10,1,0,33,15,0,0,0,0,"strad003","4","11"
"16","ANA201404150","OAK",20140415,10,46,16,4,0,0,9,0,0,0,6,1,10,0,0,0,0,9,6,9,9,0,0,33,11,1,0,0,0,"richg002","7","21"
"17","ANA201404160","ANA",20140416,5,49,12,2,0,1,5,0,0,1,2,0,5,2,0,1,0,12,6,4,4,0,0,36,13,0,0,1,0,"milot001","7","18"
"18","ANA201404160","OAK",20140416,4,43,8,3,0,1,4,0,0,1,5,1,10,2,0,1,0,9,6,4,4,0,0,35,11,2,1,1,0,"skagt001","6","18"
"19","ANA201404280","ANA",20140428,6,29,7,1,2,0,6,2,0,0,3,1,7,1,0,1,0,4,3,3,3,0,0,27,5,1,0,0,0,"mastj001","8","22"
"20","ANA201404280","CLE",20140428,3,32,5,1,0,1,3,0,0,0,2,0,6,0,0,0,0,4,2,5,5,0,0,24,12,1,0,1,0,"skagt001","7","21"
"21","ANA201404290","ANA",20140429,6,35,12,0,0,0,6,1,0,1,7,1,7,3,0,1,0,14,7,4,4,0,0,27,8,0,0,2,0,"klubc001","5","14"
"22","ANA201404290","CLE",20140429,4,34,10,1,0,1,4,0,1,0,5,0,10,2,0,2,0,9,5,5,5,0,1,24,9,1,0,1,0,"weavj003","6","16"
"23","ANA201404300","ANA",20140430,7,30,8,2,0,1,7,0,1,1,4,0,7,2,0,1,0,5,2,1,1,1,0,27,12,0,0,1,0,"mcalz001","5","13"
"24","ANA201404300","CLE",20140430,1,28,3,1,0,0,1,0,0,1,1,0,8,0,1,1,0,2,4,6,6,0,0,24,10,1,0,1,0,"wilsc004","8","24"
"25","ANA201405020","ANA",20140502,2,35,8,1,0,0,2,0,0,1,2,0,8,3,0,0,0,9,5,5,5,0,0,27,7,0,0,1,0,"lewic001","6","17"
"26","ANA201405020","TEX",20140502,5,35,9,0,0,2,5,0,0,0,3,0,10,0,1,1,0,6,6,2,2,0,0,27,7,0,0,0,0,"santh001","7","18"
"27","ANA201405030","ANA",20140503,5,37,14,4,0,0,5,1,0,0,4,0,7,0,0,0,0,13,4,3,3,0,0,27,9,1,0,1,0,"harrm001","5","13"
"28","ANA201405030","TEX",20140503,3,36,10,1,0,0,3,0,0,0,2,1,12,1,0,1,0,8,4,5,5,0,0,24,8,1,0,0,0,"richg002","6","18"
"29","ANA201405040","ANA",20140504,3,34,9,2,0,2,3,0,1,1,1,0,11,0,0,1,0,7,6,14,14,1,0,27,6,0,0,0,0,"darvy001","7","19"
"30","ANA201405040","TEX",20140504,14,40,15,3,1,2,14,0,2,1,9,1,9,1,0,0,0,11,2,3,3,0,0,27,5,0,0,1,0,"skagt001","3","8"
"31","ANA201405050","ANA",20140505,4,28,4,0,1,0,4,0,0,0,7,1,4,0,0,1,0,7,2,1,1,0,0,27,10,0,0,2,0,"pheld001","6","16"
"32","ANA201405050","NYA",20140505,1,31,6,1,0,0,1,0,0,0,1,0,9,0,0,2,0,4,5,4,4,0,0,24,13,1,0,1,0,"weavj003","8","24"
"33","ANA201405060","ANA",20140506,3,30,6,0,1,0,3,1,2,1,0,0,10,0,0,1,0,4,2,4,4,0,0,27,16,0,0,2,0,"kuroh001","8","23"
"34","ANA201405060","NYA",20140506,4,32,8,0,0,1,3,1,0,1,3,0,6,0,0,2,0,6,3,1,1,0,0,27,5,1,0,1,0,"wilsc004","8","24"
"35","ANA201405070","ANA",20140507,2,33,6,2,0,0,2,0,0,0,3,0,5,0,0,0,0,7,6,5,5,1,0,27,13,2,0,1,0,"nunov001","7","19"
"36","ANA201405070","NYA",20140507,9,36,12,3,0,1,8,0,2,0,5,0,6,0,1,1,0,7,3,2,2,0,0,27,6,0,0,0,0,"santh001","3","7"
"37","ANA201405150","ANA",20140515,6,34,8,1,0,1,5,0,0,1,3,0,9,0,0,0,0,8,4,5,5,1,0,27,9,0,0,1,0,"bedae001","6","17"
"38","ANA201405150","TBA",20140515,5,33,8,1,0,1,5,1,0,0,3,0,6,0,0,1,0,5,6,4,4,0,0,24,4,2,0,0,0,"skagt001","7","18"
"39","ANA201405160","ANA",20140516,0,31,4,0,0,0,0,0,0,0,6,0,9,1,0,0,0,10,4,3,3,0,0,27,10,0,0,0,0,"archc001","6","17"
"40","ANA201405160","TBA",20140516,3,33,6,0,0,1,3,0,0,0,5,1,8,1,0,0,0,8,5,0,0,0,0,27,10,0,0,0,0,"weavj003","7","21"
"41","ANA201405170","ANA",20140517,6,30,9,2,0,1,6,0,2,2,3,0,6,0,0,1,0,7,1,0,0,0,0,27,14,0,0,3,0,"ramoc001","2","4"
"42","ANA201405170","TBA",20140517,0,29,5,0,0,0,0,0,0,0,2,0,7,0,0,3,0,4,5,6,6,1,0,24,7,0,0,1,0,"wilsc004","9","27"
"43","ANA201405180","ANA",20140518,6,35,12,1,0,2,5,1,0,0,0,0,8,0,1,0,0,6,4,2,2,0,0,27,10,0,0,0,0,"pricd001","7","20"
"44","ANA201405180","TBA",20140518,2,32,5,1,0,1,2,0,0,0,3,0,10,0,0,0,0,6,2,5,5,0,0,24,7,1,0,0,0,"shoem001","7","18"
"45","ANA201405190","ANA",20140519,2,31,6,0,1,0,2,0,0,0,1,0,8,0,0,2,0,3,2,5,5,1,0,27,9,1,0,3,0,"keucd001","9","26"
"46","ANA201405190","HOU",20140519,5,33,10,2,0,0,4,0,0,0,2,0,2,0,0,3,0,3,2,2,2,0,0,27,15,0,0,2,0,"richg002","7","21"
"47","ANA201405200","ANA",20140520,9,36,12,4,0,0,9,0,1,0,5,0,8,0,1,0,0,9,4,3,3,1,0,27,11,1,0,1,0,"felds001","5","12"
"48","ANA201405200","HOU",20140520,3,33,9,1,0,0,3,0,2,1,2,0,8,0,0,1,0,8,4,4,4,2,0,24,9,2,0,0,0,"skagt001","7","21"
"49","ANA201405210","ANA",20140521,2,28,4,0,0,1,2,0,0,0,2,0,8,0,0,0,0,4,1,1,1,0,0,27,7,0,0,0,0,"mchuc001","7","21"
