"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"1","ANA201204060","ANA",20120406,5,31,9,1,1,0,5,0,0,0,1,1,8,0,1,1,0,3,2,0,0,0,0,27,8,2,0,0,0,"chenb001","6","18","4"
"2","ANA201204060","KCA",20120406,0,31,4,1,0,0,0,0,0,0,0,0,11,0,0,0,0,4,3,5,5,1,0,24,9,0,0,2,0,"weavj003","8","24","10"
"3","ANA201204070","ANA",20120407,3,31,9,3,0,0,3,0,1,0,2,0,6,0,0,2,0,4,5,5,5,0,0,27,8,1,0,1,0,"hochl001","7","19","4"
"4","ANA201204070","KCA",20120407,6,35,12,3,0,2,5,1,1,0,2,0,9,1,0,1,0,6,4,3,3,0,0,27,11,1,0,2,0,"hared001","6","16","5"
"5","ANA201204080","ANA",20120408,3,38,11,3,0,1,3,0,0,0,4,0,10,0,0,1,0,12,5,6,6,2,0,27,13,1,0,1,0,"sancj002","5","15","4"
"6","ANA201204080","KCA",20120408,7,36,10,2,0,2,7,0,0,1,2,0,5,2,0,0,0,5,5,3,3,2,1,27,11,1,0,1,0,"sante001","6","17","2"
"7","ANA201204160","ANA",20120416,6,33,11,3,0,1,5,0,0,1,3,0,4,0,0,0,0,7,4,0,0,0,0,27,9,2,0,0,0,"mccab001","8","21","4"
"8","ANA201204160","OAK",20120416,0,35,6,2,0,0,0,0,0,0,2,0,7,1,0,0,0,10,2,6,6,1,0,24,9,0,0,1,0,"weavj003","7","20","6"
"9","ANA201204170","ANA",20120417,3,35,9,0,0,1,3,0,0,0,0,0,5,0,0,1,0,5,4,5,5,0,0,27,14,0,0,1,0,"rosst001","6","18","3"
"10","ANA201204170","OAK",20120417,5,34,8,2,0,1,5,0,0,0,2,0,5,1,0,1,0,4,4,3,3,1,0,27,18,1,0,1,0,"hared001","7","20","2"
"11","ANA201204180","ANA",20120418,0,32,4,1,0,0,0,0,0,0,1,0,6,0,0,0,0,6,4,6,6,0,0,27,7,0,0,0,0,"colob001","8","24","5"
"12","ANA201204180","OAK",20120418,6,37,10,2,0,2,6,0,0,0,6,0,8,2,0,0,0,10,2,0,0,0,0,27,9,1,0,0,0,"sante001","7","21","5"
"13","ANA201204190","ANA",20120419,2,37,10,4,0,0,2,0,0,0,3,0,7,0,0,1,0,11,4,3,3,0,0,27,7,3,0,0,0,"milot001","5","15","3"
"14","ANA201204190","OAK",20120419,4,31,3,1,0,0,2,0,0,1,3,0,9,0,1,0,0,4,6,2,2,0,0,27,10,1,0,1,0,"wilsc004","6","18","8"
"15","ANA201204200","ANA",20120420,6,36,11,5,0,0,5,0,0,0,3,1,10,0,0,0,0,9,4,3,3,1,0,27,10,0,0,0,0,"matub001","6","15","6"
"16","ANA201204200","BAL",20120420,3,34,7,2,0,1,3,0,0,0,3,0,8,0,0,0,0,7,3,4,4,0,0,24,6,3,0,1,0,"willj003","7","20","6"
"17","ANA201204210","ANA",20120421,6,35,10,1,0,0,6,0,0,0,3,0,6,0,0,0,0,8,1,3,3,0,0,27,10,0,0,1,0,"arrij001","5","13","5"
