"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1",20100405,"MIN",3,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0
"2",20100405,"CLE",0,30,4,0,0,0,0,0,0,0,1,0,7,0,0,1,0,4,4,6,6,4,0,24,14,0,0,1,0
"3",20100405,"DET",8,39,12,4,0,0,7,0,0,0,2,0,9,0,0,1,0,6,5,4,4,0,0,27,12,1,0,0,0
"4",20100405,"SEA",5,31,6,2,0,1,5,0,1,0,8,1,8,3,2,1,0,8,4,3,3,1,0,27,18,1,0,4,0
"5",20100405,"TOR",4,35,8,1,0,2,4,0,0,0,2,1,7,1,0,1,0,6,3,5,5,0,0,25,7,1,0,1,0
"6",20100405,"SDN",3,32,5,2,0,2,3,0,0,0,0,0,6,0,0,0,0,2,4,2,2,0,0,24,4,2,0,1,0
"7",20100405,"CHN",5,30,5,1,0,2,5,0,0,0,3,0,7,0,0,0,0,1,6,14,14,0,0,24,8,2,0,0,0
"8",20100405,"SLN",11,38,12,0,0,4,10,1,0,2,4,1,5,0,0,0,0,7,5,5,5,0,0,27,13,2,0,1,0
"9",20100405,"SFN",5,32,10,1,0,1,5,2,1,0,2,0,6,0,0,2,0,5,4,2,2,0,0,27,11,0,0,0,0
"10",20100405,"COL",5,35,10,3,0,1,4,0,1,0,3,1,5,0,1,2,0,7,6,3,3,1,0,27,10,2,0,3,0
"11",20100405,"FLO",1,32,6,2,0,0,1,1,0,0,2,0,7,2,0,0,0,7,5,6,6,1,0,24,8,3,0,1,0
"12",20100405,"LAN",5,37,12,4,0,0,5,2,0,1,2,0,5,0,0,0,0,10,6,11,11,1,0,24,9,2,0,1,0
"13",20100405,"PHI",11,39,13,0,1,2,11,0,1,0,9,1,4,1,0,0,0,11,4,1,1,0,0,27,9,1,0,2,0
"14",20100406,"MIN",5,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0
"15",20100406,"NYA",6,35,9,4,0,1,6,0,1,2,5,0,7,0,0,1,0,10,6,3,3,0,0,27,5,3,0,1,0
"16",20100406,"SEA",1,34,5,1,0,0,0,0,0,0,2,0,10,0,0,0,0,5,4,2,2,0,0,29,9,0,0,1,0
"17",20100406,"BAL",3,37,11,4,0,3,3,0,0,0,3,0,7,1,0,1,0,10,5,4,4,0,0,25,7,0,0,1,0
"18",20100406,"SDN",6,37,10,1,1,2,6,0,0,0,4,0,10,3,0,0,0,8,5,3,3,0,0,27,7,1,0,1,0
