"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"1","ANA201104080","ANA",20110408,2,31,7,2,0,0,1,0,0,0,5,0,8,0,1,2,0,7,2,3,3,0,1,27,6,0,0,1,0,"drabk001","6","18","5"
"2","ANA201104080","TOR",20110408,3,33,7,1,0,1,3,0,0,0,1,0,7,1,0,1,0,4,5,1,1,0,0,27,9,1,0,2,0,"sante001","8","24","7"
"3","ANA201104090","ANA",20110409,6,49,16,2,0,1,6,1,1,0,4,2,13,0,1,4,0,8,9,4,4,2,0,42,16,3,0,0,0,"cecib001","5","15","3"
"4","ANA201104090","TOR",20110409,5,54,13,2,1,0,5,0,1,1,9,1,8,2,1,0,0,18,7,6,6,0,0,41,25,2,0,5,0,"palmm001","5","14","2"
"5","ANA201104100","ANA",20110410,3,30,6,0,1,0,3,0,0,1,3,0,6,0,0,1,0,7,3,1,1,0,0,27,4,0,0,0,0,"reyej003","7","21","6"
"6","ANA201104100","TOR",20110410,1,30,4,1,0,0,1,0,0,0,4,0,16,0,0,0,0,6,3,1,1,0,0,24,6,1,0,1,0,"weavj003","8","23","15"
"7","ANA201104110","ANA",20110411,0,31,5,1,0,0,0,0,0,0,2,0,5,0,0,1,0,6,4,4,4,0,0,27,15,0,0,1,0,"talbm001","9","24","4"
"8","ANA201104110","CLE",20110411,4,31,6,1,0,2,4,0,0,0,5,0,4,1,1,1,0,5,2,0,0,0,0,27,13,0,0,1,0,"chatt001","5","15","3"
"9","ANA201104120","ANA",20110412,2,28,4,1,0,2,2,0,0,0,3,0,6,0,0,0,0,5,1,0,0,0,0,27,8,1,0,0,0,"carmf001","8","23","6"
"10","ANA201104120","CLE",20110412,0,28,1,0,0,0,0,0,0,0,2,0,8,0,1,0,0,3,2,2,2,0,0,24,9,0,0,0,0,"hared001","9","27","8"
"11","ANA201104130","ANA",20110413,4,37,6,1,0,1,3,1,1,0,5,1,9,0,0,2,0,5,5,3,3,2,0,36,17,0,0,2,0,"carrc003","7","21","5"
"12","ANA201104130","CLE",20110413,3,40,7,1,1,0,3,0,1,0,4,0,7,2,0,1,0,6,5,4,4,1,0,35,13,1,0,2,0,"sante001","8","21","3"
"13","ANA201104210","ANA",20110421,2,36,4,1,0,1,2,0,0,0,2,0,7,0,0,0,0,3,6,4,4,0,0,33,8,0,1,1,0,"beckj002","8","24","5"
"14","ANA201104210","BOS",20110421,4,38,8,2,0,0,4,1,1,1,11,1,10,3,1,1,0,15,4,2,2,2,0,33,13,0,0,0,0,"chatt001","6","18","3"
"15","ANA201104220","ANA",20110422,3,35,9,2,0,0,2,0,0,0,3,0,9,3,0,1,0,8,3,2,2,1,0,27,9,2,1,0,0,"lestj001","6","18","8"
"16","ANA201104220","BOS",20110422,4,33,5,4,0,0,2,0,0,0,6,1,8,1,0,0,0,8,4,2,2,2,0,27,9,0,1,1,0,"hared001","6","18","6"
"17","ANA201104230","ANA",20110423,0,29,2,0,0,0,0,0,0,0,3,0,11,0,0,0,0,5,2,5,5,0,0,27,6,0,0,0,0,"matsd001","8","24","9"
"18","ANA201104230","BOS",20110423,5,38,11,3,0,1,5,0,0,0,1,0,10,3,0,0,0,7,2,0,0,0,0,27,5,0,0,0,0,"sante001","7","21","9"
"19","ANA201104240","ANA",20110424,0,33,6,0,0,0,0,0,0,1,1,0,7,0,0,1,0,8,4,7,7,0,0,27,11,0,0,1,0,"lackj001","8","24","6"
"20","ANA201104240","BOS",20110424,7,35,11,2,0,1,7,0,1,0,4,0,8,0,1,1,0,6,2,0,0,1,0,27,6,0,0,1,0,"palmm001","6","15","2"
"21","ANA201104250","ANA",20110425,5,30,8,2,0,0,3,0,0,0,3,0,7,0,1,2,0,4,1,0,0,0,0,27,8,0,0,0,0,"gonzg003","5","15","5"
"22","ANA201104250","OAK",20110425,0,33,7,1,0,0,0,0,0,0,1,0,10,0,1,0,0,7,4,4,4,0,0,24,8,2,0,2,0,"weavj003","9","27","10"
"23","ANA201104260","ANA",20110426,8,37,16,5,2,0,7,0,1,0,2,0,5,1,1,1,0,8,4,3,3,0,0,27,15,0,0,1,0,"mccab001","6","16","3"
"24","ANA201104260","OAK",20110426,3,31,6,1,0,1,3,0,0,0,5,0,1,0,1,1,0,6,4,8,8,2,0,24,7,0,0,1,0,"chatt001","6","16","1"
