"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"35","ANA201005100","ANA",20100510,5,36,8,1,0,2,5,1,2,1,1,0,10,0,2,0,1,5,6,4,4,4,0,33,8,1,0,1,0,"garzm001","8","23","7"
"36","ANA201005100","TBA",20100510,4,44,12,2,0,1,4,0,0,1,4,0,12,0,1,1,0,12,4,5,5,1,0,32,11,2,0,2,0,"pinej001","7","19","7"
"37","ANA201005110","ANA",20100511,2,34,8,1,0,0,2,0,0,0,3,0,6,1,0,0,0,8,4,7,7,1,0,27,10,0,0,1,0,"niemj001","8","22","4"
"38","ANA201005110","TBA",20100511,7,35,12,2,0,1,7,1,1,0,5,0,8,2,1,1,0,8,5,2,2,0,0,27,12,0,0,0,0,"kazms001","5","15","2"
"39","ANA201005120","ANA",20100512,3,33,8,2,0,0,3,0,1,0,3,0,6,3,0,1,0,7,3,1,1,1,0,27,7,1,2,0,0,"pricd001","7","19","6"
"40","ANA201005120","TBA",20100512,4,36,8,4,0,0,2,0,0,0,2,0,14,2,0,0,0,7,6,2,2,0,0,27,13,1,0,1,0,"weavj003","7","21","12"
"41","ANA201005140","ANA",20100514,4,29,7,2,0,1,4,2,0,0,1,0,5,0,0,0,0,4,1,0,0,1,0,27,12,0,0,1,0,"bradd002","8","24","5"
"42","ANA201005140","OAK",20100514,0,30,4,1,0,0,0,0,0,0,2,0,6,0,1,0,0,5,1,4,4,0,0,24,9,0,0,0,0,"saunj001","9","27","6"
"43","ANA201005150","ANA",20100515,12,37,15,4,0,2,11,1,1,2,0,0,9,2,0,0,0,5,3,2,2,1,0,27,8,1,0,2,0,"rosst001","4","11","3"
"44","ANA201005150","OAK",20100515,3,35,11,2,0,1,2,2,0,0,3,0,7,0,0,2,0,10,4,11,11,0,0,24,11,2,0,0,0,"sante001","6","18","6"
"45","ANA201005160","ANA",20100516,4,29,7,2,0,1,4,1,0,0,2,0,2,0,0,1,0,4,1,0,0,0,0,27,14,0,0,1,0,"cahit001","7","21","2"
"46","ANA201005160","OAK",20100516,0,30,4,1,0,0,0,0,0,0,1,0,5,0,0,1,0,4,2,4,4,0,0,24,15,1,0,1,0,"pinej001","9","27","5"
"47","ANA201005240","ANA",20100524,0,30,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,4,5,5,0,0,27,7,2,0,0,0,"cecib001","8","22","3"
"48","ANA201005240","TOR",20100524,6,33,6,1,1,0,5,0,1,0,8,0,7,0,0,0,0,9,3,0,0,0,0,27,9,0,0,0,0,"saunj001","7","19","6"
"49","ANA201005250","ANA",20100525,8,33,12,3,0,1,7,2,0,0,5,0,11,0,0,2,0,8,1,3,3,0,0,27,5,1,0,0,0,"romer002","6","16","8"
"50","ANA201005250","TOR",20100525,3,32,4,1,0,3,3,0,0,0,1,0,10,0,0,0,0,3,3,7,7,1,0,24,8,3,0,2,0,"sante001","9","27","10"
"51","ANA201005260","ANA",20100526,6,31,8,3,0,1,6,0,1,1,6,2,8,0,1,0,0,7,4,4,4,0,0,27,11,1,0,1,0,"morrb001","5","15","6"
"52","ANA201005260","TOR",20100526,5,33,6,3,0,0,5,0,0,0,4,0,11,0,0,1,0,5,5,6,6,0,0,26,9,0,0,0,0,"pinej001","6","18","6"
"53","ANA201005280","ANA",20100528,3,33,5,1,0,0,3,0,0,0,2,0,10,0,0,0,0,5,4,7,7,0,0,27,12,1,0,0,0,"lee-c003","8","24","10"
"54","ANA201005280","SEA",20100528,8,36,11,3,0,1,7,0,1,1,3,0,4,0,0,0,0,6,2,2,2,0,0,27,6,1,0,0,0,"kazms001","6","16","1"
"55","ANA201005290","ANA",20100529,5,36,8,2,0,2,5,0,0,1,4,1,7,1,0,1,0,8,3,0,0,0,0,30,9,1,0,1,0,"hernf002","9","24","7"
"56","ANA201005290","SEA",20100529,1,34,4,0,0,0,0,0,0,0,3,0,10,4,0,0,0,6,2,4,4,0,0,28,9,1,0,1,0,"weavj003","7","21","6"
"57","ANA201005300","ANA",20100530,9,33,10,1,0,3,9,0,0,0,9,0,5,1,1,0,1,9,5,7,7,0,0,27,9,0,0,1,0,"sneli001","5","12","1"
"58","ANA201005300","SEA",20100530,7,37,13,1,0,1,7,0,0,0,7,1,5,0,0,1,0,10,5,8,8,0,0,25,5,1,0,0,0,"saunj001","5","13","1"
"59","ANA201006140","ANA",20100614,2,31,4,2,0,0,2,0,0,2,3,0,6,0,0,1,0,7,3,11,11,1,0,27,11,2,1,1,0,"wolfr001","7","21","2"
"60","ANA201006140","MIL",20100614,12,38,12,3,0,2,10,0,0,2,5,0,4,1,0,1,0,6,3,2,2,1,0,27,14,0,0,1,0,"saunj001","6","17","3"
"61","ANA201006150","ANA",20100615,1,32,7,3,0,0,1,0,0,1,1,0,3,0,1,1,0,6,3,7,7,2,0,27,8,1,0,0,0,"bushd001","8","22","1"
"62","ANA201006150","MIL",20100615,7,39,12,2,0,1,6,0,0,1,3,0,12,1,0,0,1,10,3,1,1,0,0,27,15,1,0,1,0,"sante001","5","15","6"
"63","ANA201006160","ANA",20100616,5,30,9,0,0,2,5,0,1,1,2,0,6,1,0,3,0,5,2,1,1,0,0,27,11,0,0,0,0,"narvc001","5","13","2"
"64","ANA201006160","MIL",20100616,1,30,3,1,0,1,1,0,0,0,2,0,6,0,0,0,0,4,5,5,5,0,0,24,13,1,0,3,0,"pinej001","8","24","5"
"65","ANA201006220","ANA",20100622,6,30,8,2,0,1,6,0,0,0,3,0,9,0,0,1,0,3,3,3,3,1,0,27,6,2,0,1,0,"kersc001","7","20","6"
"66","ANA201006220","LAN",20100622,3,37,10,2,0,1,3,0,0,0,2,0,6,1,0,1,0,9,3,6,6,0,1,24,7,1,0,1,0,"sante001","7","21","6"
