"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"1","ANA201504100","ANA",20150410,2,33,7,2,0,1,2,0,0,0,2,0,9,0,0,1,0,6,6,4,4,0,0,27,8,2,0,0,0,"vargj001","6","18","3"
"2","ANA201504100","KCA",20150410,4,35,9,1,0,1,4,1,0,3,2,0,6,0,0,0,0,10,4,2,2,0,0,27,10,0,0,1,0,"santh001","6","16","4"
"3","ANA201504110","ANA",20150411,4,32,6,1,0,1,4,0,0,0,1,0,3,0,1,0,0,2,5,6,6,0,0,27,10,0,0,1,0,"guthj001","7","21","2"
"4","ANA201504110","KCA",20150411,6,36,12,1,0,2,6,0,0,2,4,0,8,1,2,1,0,9,3,4,4,0,0,27,11,0,0,0,0,"weavj003","5","13","5"
"5","ANA201504120","ANA",20150412,2,30,5,1,0,1,1,0,0,0,3,0,9,0,1,1,0,4,4,8,8,1,0,27,6,1,0,1,0,"venty001","6","17","7"
"6","ANA201504120","KCA",20150412,9,41,14,3,2,1,9,0,1,1,1,1,9,0,0,1,0,8,3,2,2,0,0,27,9,1,0,1,0,"wilsc004","6","17","4"
"7","ANA201504200","ANA",20150420,3,32,5,1,0,0,3,0,0,0,5,0,7,1,0,1,0,7,4,6,6,0,0,27,7,0,0,1,0,"gravk001","4","9","2"
"8","ANA201504200","OAK",20150420,6,32,8,3,0,2,6,0,2,0,4,0,6,1,0,0,0,5,4,2,2,1,0,27,12,2,0,1,0,"shoem001","4","9","2"
"9","ANA201504210","ANA",20150421,14,39,15,3,0,2,11,0,1,0,4,1,9,0,0,0,0,6,3,1,1,0,0,27,5,0,0,0,0,"pomed001","6","15","6"
"10","ANA201504210","OAK",20150421,1,32,5,0,0,1,1,0,0,0,4,0,10,0,0,0,0,8,4,12,12,2,0,24,9,3,0,0,0,"santh001","6","18","8"
"11","ANA201504220","ANA",20150422,2,31,4,2,0,0,2,0,0,0,3,0,10,0,0,0,0,5,6,9,9,1,0,27,12,0,0,2,0,"grays001","7","21","7"
"12","ANA201504220","OAK",20150422,9,41,18,1,0,1,8,1,1,0,2,1,5,4,0,2,0,9,3,2,2,1,0,27,5,0,0,0,0,"weavj003","6","18","3"
"13","ANA201504230","ANA",20150423,2,25,1,0,0,1,2,1,0,0,3,0,4,1,0,0,0,3,4,0,0,0,0,27,9,0,0,0,0,"chavj001","6","18","4"
