"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"39",20130404,"BAL",6,36,9,2,0,2,6,0,0,1,3,1,8,4,0,0,0,7,4,3,3,0,0,27,11,0,0,2,0
"40",20130404,"CLE",8,41,14,6,0,2,8,0,0,2,2,0,8,0,0,1,0,10,3,9,9,1,0,24,11,2,0,1,0
"41",20130404,"PHI",2,33,8,2,0,0,2,0,1,0,4,0,4,2,0,0,0,9,2,0,0,0,0,27,8,1,0,1,0
"42",20130404,"ANA",4,36,11,4,0,0,4,1,1,1,1,0,9,0,0,0,0,9,3,4,4,0,0,24,4,1,0,0,0
"43",20130404,"SDN",2,31,6,1,0,0,1,1,0,1,5,1,5,1,1,0,0,9,6,1,1,1,0,27,10,0,0,1,0
"44",20130404,"CHN",3,30,3,0,0,1,3,0,0,0,3,0,6,1,0,0,0,3,5,2,2,0,0,27,10,1,0,2,0
"45",20130404,"MIA",1,33,8,0,0,1,1,0,0,0,3,0,3,0,0,2,0,8,4,5,5,1,0,24,7,2,0,0,0
"46",20130405,"MIN",5,36,10,3,1,0,5,0,0,1,2,0,9,0,0,1,0,7,5,9,9,1,0,24,10,1,0,0,0
"47",20130405,"SEA",8,38,12,4,1,1,8,1,0,0,3,0,9,1,1,2,0,4,6,7,7,1,0,30,11,1,0,0,0
"48",20130405,"NYA",3,32,6,0,0,1,2,0,0,2,2,0,7,0,0,1,0,6,4,8,8,1,0,24,6,0,0,1,0
"49",20130405,"OAK",8,36,10,2,0,1,7,1,0,1,8,0,5,1,0,2,0,11,4,3,3,0,0,27,4,0,0,0,0
"50",20130405,"CLE",0,28,2,1,0,0,0,1,0,0,2,0,11,0,0,0,0,4,2,2,2,2,0,24,8,1,0,0,0
"51",20130405,"ANA",2,31,6,1,0,1,2,0,0,0,2,0,6,1,1,1,0,4,4,3,3,0,0,24,7,0,0,0,0
"52",20130405,"BOS",6,41,12,3,0,2,6,0,0,1,6,1,12,3,0,1,0,15,5,4,4,1,0,27,7,0,0,1,0
"53",20130405,"CHN",1,29,5,1,0,1,1,0,0,0,0,0,9,0,1,2,0,1,3,4,4,2,0,24,9,1,0,0,0
"54",20130405,"WAS",0,31,5,3,0,0,0,0,0,0,4,0,7,0,0,0,0,8,4,14,14,1,0,24,6,2,0,1,0
"55",20130405,"SDN",2,35,7,3,0,0,2,0,0,0,1,0,8,1,0,0,0,7,2,2,2,1,0,24,16,1,0,0,0
"56",20130405,"PIT",0,28,2,0,0,0,0,0,0,0,1,0,10,0,1,0,0,2,2,3,3,0,0,24,11,1,0,1,0
"57",20130405,"ARI",3,30,6,3,0,0,1,2,0,0,3,0,8,0,0,0,0,5,4,1,1,0,0,27,11,0,0,2,0
"58",20130405,"MIA",7,37,11,4,0,1,7,1,1,0,3,1,5,2,0,0,0,8,5,5,5,0,0,27,11,0,1,1,0
"59",20130405,"KCA",13,44,19,4,2,1,13,0,1,0,4,1,4,1,0,1,0,9,5,4,4,0,0,27,7,0,0,2,0
"60",20130405,"SLN",0,28,3,0,0,0,0,0,0,0,3,0,6,0,0,2,0,4,3,0,0,0,0,24,14,1,0,1,0
"61",20130406,"MIN",6,33,9,1,0,1,6,0,2,1,5,0,12,0,2,0,0,8,3,4,4,0,0,27,7,1,0,1,0
"62",20130406,"SEA",3,33,6,1,0,1,2,0,0,0,3,0,8,0,0,1,0,6,3,4,4,1,0,24,8,1,0,1,0
"63",20130406,"NYA",4,31,6,2,1,1,4,0,0,1,5,0,10,0,0,0,0,6,4,6,6,1,0,24,5,2,0,2,0
"64",20130406,"OAK",6,38,11,1,0,3,6,0,0,0,1,0,6,2,0,1,0,6,4,3,3,0,0,27,11,0,0,1,0
"65",20130406,"CLE",0,30,5,0,0,0,0,0,0,0,3,0,7,0,0,2,0,6,3,6,6,0,0,24,7,0,0,1,0
"66",20130406,"ANA",8,35,12,3,0,4,8,1,2,0,6,3,4,0,0,1,0,9,4,4,4,2,0,27,7,0,0,0,0
"67",20130406,"BOS",0,28,2,1,0,0,0,0,0,0,3,0,11,2,1,0,0,4,2,5,5,0,0,24,5,0,0,0,0
"68",20130406,"CHN",5,41,13,2,0,2,5,0,0,0,3,0,4,1,0,0,0,12,4,6,6,1,0,25,6,0,0,1,0
"69",20130406,"WAS",7,42,10,2,0,5,7,0,0,0,4,1,9,0,0,1,0,6,5,4,4,1,0,33,13,3,0,2,0
"70",20130406,"SDN",3,34,8,5,0,0,3,0,0,0,3,0,4,0,0,1,0,7,4,5,5,2,0,24,10,1,0,0,0
"71",20130406,"PIT",0,27,2,0,0,0,0,1,0,0,2,0,11,0,1,0,0,3,4,1,1,0,0,24,9,0,0,2,0
"72",20130406,"ARI",9,43,16,2,0,3,8,0,0,0,3,0,3,0,0,1,1,11,4,2,2,0,0,27,15,0,0,2,0
"73",20130406,"MIA",3,36,11,0,0,0,2,0,0,0,2,0,8,0,0,1,0,8,3,6,6,0,0,24,9,2,0,1,0
"74",20130406,"KCA",3,31,6,3,0,0,3,1,0,1,1,0,6,1,0,1,0,4,4,4,4,0,0,26,10,0,0,0,0
"75",20130406,"SLN",6,35,11,0,0,0,6,2,0,0,2,0,7,1,0,1,0,6,5,3,3,0,0,27,6,0,0,1,0
"76",20130407,"MIN",4,27,4,1,0,0,4,1,1,2,4,0,6,0,1,0,1,5,5,3,3,1,0,27,14,1,0,2,0
"77",20130407,"SEA",3,37,7,3,0,2,3,0,0,0,3,1,11,0,0,0,0,7,5,4,4,1,0,28,8,0,0,1,0
"78",20130407,"NYA",7,38,13,3,0,1,7,0,1,0,3,0,4,0,0,1,0,8,3,0,0,0,0,27,7,0,0,0,0
"79",20130407,"OAK",9,36,11,2,0,3,9,0,0,1,6,0,4,0,1,1,0,7,4,1,1,0,0,27,9,1,0,0,0
"80",20130407,"CLE",13,43,17,6,0,5,13,0,0,0,3,0,7,1,0,0,0,6,3,0,0,2,0,27,11,0,0,1,0
